Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,RTK,Zone,Letter,actUTMN,actUTME
1665096408.033698,0,82008,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096409.0522926,0,82009,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096410.028174,0,82010,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096411.0514095,0,82011,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096412.0293927,0,82012,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096413.05323,0,82013,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096414.0302289,0,82014,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096415.0530176,0,82015,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096416.0267541,0,82016,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096417.0520537,0,82017,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096418.0303829,0,82018,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096419.049388,0,82019,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096420.0238209,0,82020,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096421.053469,0,82021,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096422.0280201,0,82022,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096423.054423,0,82023,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096424.0256073,0,82024,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096425.0535467,0,82025,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096426.0301573,0,82026,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096427.0519373,0,82027,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096428.0292227,0,82028,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096429.051006,0,82029,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096430.028391,0,82030,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096431.0535989,0,82031,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096432.0288296,0,82032,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096433.0544293,0,82033,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096434.0305817,0,82034,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096435.0525098,0,82035,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T,4689434.40,328121.11
1665096436.0290701,0,82036,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096437.0509455,0,82037,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096438.0252507,0,82038,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096439.0536945,0,82039,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096440.0298254,0,82040,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096441.0548985,0,82041,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096442.029673,0,82042,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096443.0539594,0,82043,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096444.0295208,0,82044,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096445.0524652,0,82045,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T,4689434.40,328121.11
1665096446.0269485,0,82046,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T,4689434.40,328121.11
1665096447.0504956,0,82047,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T,4689434.40,328121.11
1665096448.029204,0,82048,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096449.0553877,0,82049,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096450.0310493,0,82050,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096451.0547473,0,82051,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096452.0300968,0,82052,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096453.0528557,0,82053,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096454.0307362,0,82054,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096455.0492911,0,82055,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096456.026222,0,82056,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096457.0518308,0,82057,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096458.0270169,0,82058,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096459.0520692,0,82059,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096460.0279505,0,82060,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096461.0518155,0,82061,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096462.030277,0,82062,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096463.0525303,0,82063,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096464.0282865,0,82064,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096465.0502014,0,82065,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096466.0274408,0,82066,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096467.0513682,0,82067,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096468.0275352,0,82068,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096469.0507843,0,82069,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T,4689434.40,328121.11
1665096470.0291278,0,82070,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T,4689434.40,328121.11
1665096471.0518525,0,82071,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096472.0296233,0,82072,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T,4689434.40,328121.11
1665096473.0487907,0,82073,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T,4689434.40,328121.11
1665096474.0261004,0,82074,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096475.0525386,0,82075,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096476.0283153,0,82076,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096477.0520744,0,82077,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096478.0286841,0,82078,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096479.0532382,0,82079,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096480.0264626,0,82080,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096481.0505993,0,82081,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096482.0274158,0,82082,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096483.0504477,0,82083,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096484.0277224,0,82084,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096485.0501723,0,82085,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096486.0291343,0,82086,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096487.049394,0,82087,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096488.0274713,0,82088,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096489.054828,0,82089,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096490.0271866,0,82090,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096491.0447605,0,82091,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
